Date,Open,High,Low,Close,Volume
11/04/2013,56.88,56.88,56.88,56.88,200
11/07/2013,56.5,56.5,56.5,56.5,100
11/11/2013,57.26,57.26,57.25,57.25,444
11/14/2013,57.54,57.54,57.533,57.533,276
11/18/2013,58.2,58.2,58.2,58.2,100
11/19/2013,57.81,57.81,57.81,57.81,400
11/21/2013,58.04,58.04,57.99,57.99,400
11/22/2013,58.07,58.28,58.07,58.2799,458
11/25/2013,58.34,58.34,58.3399,58.3399,200
11/26/2013,58.39,58.5,58.39,58.5,200
11/27/2013,58.54,58.54,58.37,58.37,1100
11/29/2013,58.7,58.7,58.58,58.58,900
12/03/2013,58.06,58.08,57.87,57.87,4200
12/04/2013,57.96,58.3,57.8,58.11,5064
12/05/2013,58.3,58.3,57.81,57.83,95430
12/06/2013,58.2,58.46,58.1999,58.35,830
12/09/2013,58.639,58.639,58.639,58.639,150
12/10/2013,58.47,58.48,58.47,58.48,344
12/11/2013,58.06,58.06,57.83,57.83,820
12/12/2013,57.6,57.65,57.49,57.65,5712
12/13/2013,57.61,57.62,57.58,57.58,1542
12/16/2013,57.91,58.0144,57.91,57.98,1011
12/17/2013,57.84,57.91,57.8,57.89,3318
12/18/2013,57.68,58.45,57.68,58.45,946
12/20/2013,58.994,59.03,58.994,59.03,324
12/23/2013,58.89,58.89,58.89,58.89,301
12/26/2013,59.31,59.342,59.31,59.342,355
12/27/2013,59.38,59.38,59.38,59.38,123
12/30/2013,59.44,59.44,59.36,59.36,620
12/31/2013,59.51,59.57,59.51,59.544,1652
01/02/2014,59.55,59.55,59.16,59.21,991
01/03/2014,59.29,59.29,59.139,59.14,828
01/06/2014,59.14,59.14,59.13,59.13,600
01/07/2014,59.39,59.46,59.39,59.46,1308
01/09/2014,59.475,59.475,59.29,59.33,5554
01/10/2014,59.45,59.52,59.28,59.52,6701
01/13/2014,59.47,59.51,59.11,59.11,1239
01/14/2014,59.03,59.3,59.03,59.3,1274
01/15/2014,59.61,59.68,59.61,59.68,1421
01/16/2014,59.38,59.3899,59.38,59.3899,550
01/17/2014,59.26,59.26,59.26,59.26,314
01/21/2014,59.62,59.62,59.13,59.34,925
01/22/2014,59.37,59.44,59.27,59.43,1488
01/23/2014,58.93,58.9488,58.66,58.76,2470
01/24/2014,58.09,58.09,57.63,57.63,19923
01/27/2014,57.52,57.606,57.34,57.34,2236
01/29/2014,57.26,57.3604,57.1696,57.34,772
01/30/2014,57.55,57.55,57.55,57.55,1751
01/31/2014,57.08,57.53,57.08,57.42,6981
